Peak_Heat_Release_Rate,time_to_peak_heat_release_rate,total_heat_released,net_heat_of_combustion_per_mass_fuel,net_heat_of_combustion_per_mass_o2,co_yield,soot_yield,test_duration,fuel_type
894.05,7.57,269.84801,20,13.1,0.03258943656,0.004070725655,16.36666667,3
289.2,5.45,4.87407,46.4,12.78,0.07705248941,0.002649694614,6.633333333,5
301.98,5.17,5.25834,45.79,13.38,0.1399507146,0.01871216841,6.466666667,3
219.22,4.7,4.86809,50,12.54,0.1119165022,0.0004976650839,5.883333333,1
275.31,5.82,4.86546,46.4,12.78,0.2431721928,0.003481820179,6.983333333,5
127.17,11.38,126.85369,16.9,12.84,0.08745498474,0.01899378292,39.66666667,3
395.9,23.13,597.10937,16.12,13.61,0.02304138674,0.001950868224,55.73333333,0
118.25,4.67,3.8892,50,12.54,0.1075044635,0.00399004548,5.866666667,1
53.8,13.82,46.16496,46.3,12.78,0.003267069726,0.00516499873,16.08333333,5
437.72,17.52,307.84896,50,12.54,0.0003752648988,0.0006121665967,24.8,2
101.28,3.67,2.66063,45.79,13.38,0.1315076706,0.06790116293,4.85,3
95.35,17.02,175.2557,40,13.1,0.02456491406,0.01420660918,49.61666667,3
281.25,11.48,170.74728,30,13.1,0.01761166383,0.00331900432,43.68333333,4
476,8.23,6.29612,50,12.54,0.05695210459,0.0001227692067,9.45,1
251.81,5.8,4.44412,46.4,12.78,0.2392011739,0.003309771452,7.05,5
39.87,15.73,65.07067,46.3,12.78,0.0008395109771,9.05E-05,30.21666667,5
65.68,4.18,2.07585,50,12.54,0.02188853829,9.80E-05,5.2,1
71.35,4.02,2.09803,50,12.54,0.03493276436,0.001659649784,5.316666667,1
367.15,6,6.72918,46.4,12.78,0.07948955019,0.002713013204,7.2,5
1.55,15.07,0.85231,16.12,13.61,0.0208494583,0.0008808229973,20.3,0
225.46,9.62,190.21203,20,13.1,0.02888903699,0.01076009604,51.26666667,3
188.35,10.95,74.23255,50,12.54,0.1179953394,0.01739466193,11.76666667,2
310.31,6.67,4.75834,50,12.78,0.08770307134,0.00315407952,7.8,1
287.74,8.82,442.4444,16.12,13.61,0.0461353115,0.001942184539,72.86666667,0
64.34,4.02,2.32046,50,12.54,0.0541661313,0.000350942101,5.083333333,1
21.94,0.95,2.04488,43.7,13.4,0.001331843563,0.07466297982,1.966666667,3
229.14,5.78,4.65066,46.4,12.78,0.2396639588,0.004195163686,7.416666667,5
96.98,5.17,2.81548,46.4,12.78,0.1330662499,0.006680134952,6.383333333,5
259.04,14.73,48.02285,19.2,17.8,0.02844303861,0.004981680703,16.8,6
319.1,5.67,5.10459,46.4,12.78,0.1197967445,0.002161032142,6.933333333,5
103.25,12.73,22.93442,19.2,17.8,0.01255058799,0.0004281769658,17.78333333,6
112.37,7.93,3.80559,50,12.54,0.07234791743,0.0103542321,9.083333333,1
108.5,5.82,3.3241,46.4,12.78,0.1755930858,0.007030124664,7.133333333,5
71.02,8.8,35.95576,30,13.1,0.0187991509,0.004297948717,22.18333333,4
469.18,9.72,259.57529,30,13.1,0.04961910279,0.03285404721,24.8,3
73.68,4.58,3.67254,46.4,12.78,0.0470537851,0.007260972497,6.066666667,5
147.46,11.57,40.77056,19.2,17.8,0.02831422348,0.01018922596,17.6,6
55.11,21.23,128.01805,46.3,12.78,0.003375899896,0.005862557223,43,5
444.86,8.73,257.43554,25,13.1,0.01663242391,0.01745175127,48.08333333,3
81.88,3.98,2.79209,46.4,12.78,0.06694335352,0.009186276006,5.083333333,5
308.11,5.22,5.39998,46.4,12.78,0.07139219564,0.001964090257,6.416666667,5
162.49,15.97,39.54974,19.2,17.8,0.04005842876,0.01136435051,17.16666667,6
392.56,5.7,5.88629,46.4,12.78,0.08688767587,0.006292060652,6.95,5
3135.35,6.97,514.32831,24.88,12.98,0.004188585014,0.005603331055,19.21666667,3
1686.72,1.1,136.2013,30,13.1,0.08109826403,0.1716452279,13.28333333,3
309.89,4.7,4.98643,50,12.54,0.1098713917,0.001121898201,5.783333333,1
24.76,2.27,42.02565,46.3,12.78,0.004140873687,0.001977402458,33.21666667,5
93,5.2,2.94401,50,12.54,0.08899498523,0.008093003161,6.3,1
55.67,7.58,49.79246,46.3,12.78,0.00332882612,0.005308014133,16.88333333,5
481.05,4.88,236.28173,16.12,13.61,0.03599634411,0.001039907049,31.36666667,0
2711.3,11,780.19551,16.12,13.1,0.0465361042,0.005828775559,16.08333333,0
287.55,10.22,48.14699,19.2,17.8,0.03438590677,0.005657281934,12.51666667,6
580.07,2.18,37.48536,25,13.1,0.0302336511,0.002098751537,4.9,3
267.21,6.13,4.3184,46.4,12.78,0.1372639476,0.002588805743,8.15,5
112.7,10.48,52.84814,30,13.1,0.01801510878,0.003045304548,29.8,4
298.73,7.18,5.22798,50,12.54,0.070600199,0.0001337018844,8.483333333,1
3381.16,5.47,687.5022,16.12,13.1,0.02545728215,0.005330923764,12.48333333,0
210.29,5.7,3.05232,46.4,12.78,0.1185304045,0.0002444532968,6.833333333,5
895.57,6.42,600.93154,16.12,13.1,0.009478245087,0.001455131803,23,0
277.5,7.12,4.45088,50,12.54,0.1201546653,0.0001443623021,8.2,1
66.47,11.35,37.78656,25,13.1,0.01992360134,0.004206942632,26.41666667,3
108.26,7.9,3.29187,50,12.54,0.06892052258,0.00533932715,9.333333333,1
21.28,42.03,26.16784,30,13.1,0.01619689794,0.001426060712,65.18333333,4
2487.09,2.63,361.63826,44.4,12.68,0.004380131709,0.01466353152,3.9,3
68.19,6.68,2.14935,50,12.54,0.09597085681,0.0001787659072,7.85,1
1255.41,1.1,91.61602,30,13.1,0.09127158929,0.1545010313,13.73333333,3
152.49,4.2,4.17271,50,12.78,0.1233781565,0.004910187693,5.3,1
63.83,4.03,2.22376,50,12.54,0.04739216958,8.24E-05,5.166666667,1
288,5.78,5.57469,50,12.54,0.09882294961,0.0004570995018,6.9,1
395.83,5.17,6.2248,50,12.54,0.07743377577,0.0002324534382,6.383333333,1
258.44,5.8,5.3541,50,12.54,0.0974032205,0.0004679065489,6.933333333,1
194.03,15.28,38.47201,19.2,17.8,0.03383794728,0.01313388275,16.45,6
30.08,32.95,32.05671,30,13.1,0.0144173519,0.002593385844,56.71666667,4
186.68,7.68,52.3098,30,13.1,0.01977420095,0.004420136294,21.26666667,4
37.26,7.32,33.81018,46.3,12.78,0.003694278373,0.004518776951,16.86666667,5
383.8,7.67,5.39851,50,12.54,0.08278528308,0.0001040607073,8.85,1
142.94,8.18,34.77457,19.2,17.8,0.02736770743,0.0104639415,13.23333333,6
65.67,3.98,2.07884,50,12.54,0.0515384264,0.0002444772098,5.233333333,1
2955.48,3.53,513.17038,42,12.93,0.06766389901,0.1638055256,33.81666667,3
112.83,14.08,82.06447,50,12.54,0.1875197037,0.002474990162,17.23333333,2
115.79,4.67,3.68807,50,12.54,0.09967314121,0.0004466590974,5.833333333,1
122.91,4.63,12.81987,50,12.54,0.1056889301,0.003196356583,5.616666667,1
118.78,4.67,3.50519,46.4,12.78,0.1940841701,0.00736058352,5.833333333,5
306.91,2.57,216.19274,20,13.61,0.07128405005,0.008632700872,32.9,3
3240.22,2.48,1505.91158,16.12,13.61,0.01774924107,0.0004739692193,48.95,0
223.44,16.72,54.69096,19.2,17.8,0.02464344746,0.002426865122,18.88333333,6
972.11,6.78,771.93276,20,13.1,0.03198914319,0.01003367113,70.55,3
105.9,4.93,2.50967,46.4,12.78,0.1266553904,0.005029892214,6.116666667,5
79.17,4.05,2.41558,46.3,12.78,0.06876160557,0.0053657119,5.15,5
160.47,12.88,39.17364,19.2,17.8,0.02673421816,0.008236142085,14.23333333,6
2300.96,37.53,5120.22249,16.12,13.61,0.0262494544,0.002387729292,115.4333333,0
75.63,4.13,2.34746,46.4,12.78,0.06833192806,0.006584338886,5.25,5
50.64,28.57,53.66518,30,13.1,0.01714214635,0.003140586607,47.58333333,4
2216.11,15.28,1997.24063,16.12,13.61,0.01761427106,0.001260511475,66.01666667,0
382.72,5.72,6.09232,46.3,12.78,0.07654079824,0.002505046322,6.933333333,5
227.31,5.68,3.38786,46.4,12.78,0.1160145878,0.004330634751,6.9,5
240.27,4.65,4.3932,46.4,12.78,0.1670356798,0.002190734387,5.8,5
400,5.73,5.74072,46.4,12.78,0.1797938382,0.005801744843,6.9,5
176.58,5.67,3.04616,46.4,12.78,0.1267308631,0.01740514625,6.966666667,5
149.22,17.17,39.06186,19.2,17.8,0.02403544043,0.00420987157,19.35,6
221.5,4.15,3.95272,45.79,13.38,0.09782910425,0.0333100746,5.333333333,3
292.91,5.17,5.21246,46.4,12.78,0.1431719476,0.002712182258,6.416666667,5
229.09,4.67,4.3191,46.4,12.78,0.1057797541,0.002876962782,5.933333333,5
102.87,5.18,3.14953,46.4,12.78,0.1237084384,0.004287183251,6.466666667,5
5141.47,23.03,4235.16305,50,12.54,0.0002799131064,2.17E-05,24.55,2
28.9,0.55,1.5122,37.3,13.4,0.004648666073,0.1176054509,1.516666667,3
97.42,4.17,3.05555,46.4,12.78,0.1413985516,0.006323049424,6.25,5
318.03,7.67,4.32267,50,12.54,0.1090044356,0.0009323721112,7.783333333,1
50.43,2.97,9.15465,44.4,12.68,0.006998414764,0.02299692699,4.633333333,3
276.79,5.7,5.246,50,12.54,0.1210636425,0.002767847205,6.816666667,1
1430.29,5.75,700.01238,25,13.1,0.05605553521,0.09603974409,33.13333333,3
66.06,4,2.34916,50,12.54,0.03995294059,0.0001627586146,5.2,1
350.81,5.43,5.72636,46.4,12.78,0.09758849524,0.002038391522,6.633333333,5
320.95,12.82,179.04223,50,12.54,0.000984218977,0.0003899782379,19.68333333,2
395.2,5.65,5.73137,46.4,12.78,0.1369485622,0.0002011140744,6.916666667,5
71.17,3.08,37.66471,46.3,12.78,0.02232191384,0.006531803948,10.16666667,5
